Close,SMA_Signals,MeanReversion_Signals,Combined_Signals,Returns,Cumulative_Returns
39.47999954223633,-1,0,-1,0.0,1000.0
35.54750061035156,-1,0,-1,0.09960737025028876,1099.6073702502888
37.064998626708984,-1,0,-1,-0.04268930277240135,1052.6658982909103
36.98249816894531,-1,0,-1,0.002225831939036471,1055.0089556684607
37.6875,-1,0,-1,-0.01906312082634498,1034.897192473677
38.32749938964844,-1,0,-1,-0.016981741682214002,1017.3228356834405
38.45000076293945,-1,0,-1,-0.003196174424155096,1014.0712944549201
38.0724983215332,-1,0,-1,0.009818008684413626,1024.0274552304934
37.5,-1,0,-1,0.015037056846080588,1039.4258142867416
38.26750183105469,-1,0,-1,-0.020466715494791732,1018.1521818677928
38.73500061035156,-1,0,-1,-0.01221660042928363,1005.7138234857106
38.96500015258789,-1,0,-1,-0.005937770455975322,999.7421256574511
39.20500183105469,-1,0,-1,-0.006159416849145227,993.5842971638763
38.32500076293945,-1,0,-1,0.022446142762788446,1015.8864321448815
38.47999954223633,-1,0,-1,-0.004044325537150728,1011.777856704513
38.17499923706055,-1,0,-1,0.00792620345125028,1019.7974138442232
39.439998626708984,-1,0,-1,-0.03313685435310676,986.0045354719922
39.07500076293945,-1,0,-1,0.009254510052704501,995.1295243575299
38.66999816894531,-1,0,-1,0.010364749483978586,1005.4437925816064
41.3125,-1,0,-1,-0.06833467691179762,936.7371158625699
41.61000061035156,-1,0,-1,-0.007201225061459926,929.9914610678208
41.630001068115234,-1,0,-1,-0.00048066468325647094,929.5444470167553
42.8125,-1,0,-1,-0.02840497001068898,903.1407648756418
43.54499816894531,-1,0,-1,-0.017109446281934337,887.688526473977
43.560001373291016,-1,0,-1,-0.0003445448381349525,887.3826779743088
42.73500061035156,-1,0,-1,0.01893941085698192,904.189183099833
42.602500915527344,-1,0,-1,0.003100495915100643,906.9926179685121
42.35749816894531,-1,0,-1,0.0057509005649181155,912.2086423275638
42.72249984741211,-1,0,-1,-0.008617168016179066,904.3479871908166
42.54499816894531,-1,-1,-1,0.004154758712640039,908.1053348698563
42.70000076293945,-1,-1,-1,-0.0036432624436515404,904.7968688084452
42.60499954223633,-1,-1,-1,0.0022248529041146714,906.8099087496475
42.73249816894531,-1,-1,-1,-0.002992574300642481,904.0962127211553
43.00749969482422,-1,-1,-1,-0.006435418888726563,898.2779748765835
42.76499938964844,-1,-1,-1,0.005638558551334882,903.3429678332994
43.24250030517578,-1,-1,-1,-0.011165694431014783,893.2565162880668
43.557498931884766,-1,-1,-1,-0.0072844683930379794,886.7496174282911
43.58250045776367,-1,-1,-1,-0.0005739890143372506,886.2406328894195
43.717498779296875,-1,-1,-1,-0.0030975350224347054,883.4954714907399
43.287498474121094,-1,-1,-1,0.009835885336134886,892.1854316433173
43.74250030517578,-1,-1,-1,-0.010511160198520164,882.8075276445285
43.962501525878906,-1,-1,-1,-0.00502946148867256,878.3674811823302
43.88249969482422,-1,-1,-1,0.0018197743139706235,879.9659117628127
43.630001068115234,-1,-1,-1,0.005753970910156836,885.0292100210255
43.125,-1,0,-1,0.01157462882769189,895.2730946286844
43.227500915527344,-1,0,-1,-0.0023768328238225056,893.1451801510857
44.724998474121094,-1,-1,-1,-0.03464224225036916,862.2046284555421
45.227500915527344,-1,-1,-1,-0.011235381968699443,852.5174301196636
45.4275016784668,-1,-1,-1,-0.004422105110627239,848.7475084350325
45.932498931884766,-1,-1,-1,-0.011116553514043392,839.3123613376035
46.529998779296875,-1,-1,-1,-0.013008215562104963,828.3944052173847
47.005001068115234,-1,-1,-1,-0.010208517113258653,819.9377267551953
46.63249969482422,-1,-1,-1,0.007924717898659783,826.4355019341984
47.040000915527344,-1,-1,-1,-0.008738566951588034,819.2136399693773
48.772499084472656,-1,-1,-1,-0.03683031750055599,789.041741508519
47.76250076293945,-1,-1,-1,0.020708356973546005,805.3814995587057
47.185001373291016,-1,-1,-1,0.012091062662626273,815.11941773719
46.6974983215332,-1,-1,-1,0.010331737576970035,823.5410176551432
47.11750030517578,-1,-1,-1,-0.008994100299563712,816.1340071415481
47.18000030517578,-1,-1,-1,-0.0013264710478100294,815.0514290099417
47.48749923706055,-1,-1,-1,-0.006517569518774025,809.7392746599933
47.810001373291016,-1,-1,-1,-0.006791305952341675,804.2400875041501
48.505001068115234,-1,-1,-1,-0.014536701001068852,792.5490898190288
48.837501525878906,-1,-1,-1,-0.00685497269233637,787.1161874509834
48.92250061035156,-1,-1,-1,-0.0017404470297812669,785.7462534204415
49.25,-1,-1,-1,-0.006694248772294742,780.4862725281465
50.025001525878906,-1,-1,-1,-0.01573607159144985,768.2044846674999
49.875,-1,-1,-1,0.002998531160489981,770.5079697524036
50.154998779296875,-1,-1,-1,-0.0056140106124686895,766.1823298332218
49.73749923706055,-1,-1,-1,0.008324186071133277,772.560174111168
49.717498779296875,-1,-1,-1,0.00040212029294728335,772.870836234701
49.807498931884766,-1,-1,-1,-0.0018102309005409989,771.471761564822
49.8125,-1,-1,-1,-0.00010040793499932477,771.3942996783329
50.782501220703125,-1,-1,-1,-0.01947304834535757,756.3729011873636
50.96500015258789,-1,-1,-1,-0.0035937365725964288,753.6546962298457
51.13249969482422,-1,-1,-1,-0.0032865602224043666,751.1777646837885
51.869998931884766,-1,-1,-1,-0.014423297148822956,740.3433045721656
51.790000915527344,-1,-1,-1,0.0015422791209707132,741.4851205931576
51.31999969482422,-1,-1,-1,0.009075134435114762,748.2141977441779
51.07500076293945,-1,-1,-1,0.004773946479767366,751.7861322796107
