Close,SMA_Signals,MeanReversion_Signals,Combined_Signals,Returns,Position,Cumulative_Returns
39.47999954223633,-1,0,-1,0.0,No Position,1000.0
35.54750061035156,-1,0,-1,0.09960737025028876,Short,1000.0
37.064998626708984,-1,0,-1,-0.04268930277240135,Short,990.0392629749712
36.98249816894531,-1,0,-1,0.002225831939036471,Short,994.2656715603415
37.6875,-1,0,-1,-0.01906312082634498,Short,994.0443647315768
38.32749938964844,-1,0,-1,-0.016981741682214002,Short,995.9393235147394
38.45000076293945,-1,0,-1,-0.003196174424155096,Short,997.630601947048
38.0724983215332,-1,0,-1,0.009818008684413626,Short,997.9494620885177
37.5,-1,0,-1,0.015037056846080588,Short,996.9696744399787
38.26750183105469,-1,0,-1,-0.020466715494791732,Short,995.4705254731415
38.73500061035156,-1,0,-1,-0.01221660042928363,Short,997.5079266759725
38.96500015258789,-1,0,-1,-0.005937770455975322,Short,998.7265422524969
39.20500183105469,-1,0,-1,-0.006159416849145227,Short,999.3195631481154
38.32500076293945,-1,0,-1,0.022446142762788446,Short,999.935085723609
38.47999954223633,-1,0,-1,-0.004044325537150728,Short,997.6906171548417
38.17499923706055,-1,0,-1,0.00792620345125028,Short,998.0941157189552
39.439998626708984,-1,0,-1,-0.03313685435310676,Short,997.3030060164868
39.07500076293945,-1,0,-1,0.009254510052704501,Short,1000.6077544621153
38.66999816894531,-1,0,-1,0.010364749483978586,Short,999.6817410098669
41.3125,-1,0,-1,-0.06833467691179762,Short,998.6455959289394
41.61000061035156,-1,0,-1,-0.007201225061459926,Short,1005.4698083436588
41.630001068115234,-1,0,-1,-0.00048066468325647094,Short,1006.1938697818973
42.8125,-1,0,-1,-0.02840497001068898,Short,1006.2422339676687
43.54499816894531,-1,0,-1,-0.017109446281934337,Short,1009.1004620156027
43.560001373291016,-1,0,-1,-0.0003445448381349525,Short,1010.8269770303958
42.73500061035156,-1,0,-1,0.01893941085698192,Short,1010.8618045521141
42.602500915527344,-1,0,-1,0.003100495915100643,Short,1008.9472918485098
42.35749816894531,-1,0,-1,0.0057509005649181155,Short,1008.634468152817
42.72249984741211,-1,0,-1,-0.008617168016179066,Short,1008.0544124995474
42.54499816894531,-1,-1,-1,0.004154758712640039,Short,1008.9230699237434
42.70000076293945,-1,-1,-1,-0.0036432624436515404,Short,1008.5038867322285
42.60499954223633,-1,-1,-1,0.0022248529041146714,Short,1008.8713111657092
42.73249816894531,-1,-1,-1,-0.002992574300642481,Short,1008.6468521390567
43.00749969482422,-1,-1,-1,-0.006435418888726563,Short,1008.9486972038702
42.76499938964844,-1,-1,-1,0.005638558551334882,Short,1009.5979979542444
43.24250030517578,-1,-1,-1,-0.011165694431014783,Short,1009.0287302117669
43.557498931884766,-1,-1,-1,-0.0072844683930379794,Short,1010.1553808591328
43.58250045776367,-1,-1,-1,-0.0005739890143372506,Short,1010.8912253535254
43.717498779296875,-1,-1,-1,-0.0030975350224347054,Short,1010.9492493993297
43.287498474121094,-1,-1,-1,0.009835885336134886,Short,1011.2623944699216
43.74250030517578,-1,-1,-1,-0.010511160198520164,Short,1010.2677283742464
43.962501525878906,-1,-1,-1,-0.00502946148867256,Short,1011.3296369678801
43.88249969482422,-1,-1,-1,0.0018197743139706235,Short,1011.8382813140284
43.630001068115234,-1,-1,-1,0.005753970910156836,Short,1011.6541495826057
43.125,-1,0,-1,0.01157462882769189,Short,1011.0720467278219
43.227500915527344,-1,0,-1,-0.0023768328238225056,Short,1009.9017683619289
44.724998474121094,-1,-1,-1,-0.03464224225036916,Short,1010.1418051291168
45.227500915527344,-1,-1,-1,-0.011235381968699443,Short,1013.6411628411677
45.4275016784668,-1,-1,-1,-0.004422105110627239,Short,1014.7800274055394
45.932498931884766,-1,-1,-1,-0.011116553514043392,Short,1015.2287738000746
46.529998779296875,-1,-1,-1,-0.013008215562104963,Short,1016.3573582993691
47.005001068115234,-1,-1,-1,-0.010208517113258653,Short,1017.6794578598581
46.63249969482422,-1,-1,-1,0.007924717898659783,Short,1018.7183576759954
47.040000915527344,-1,-1,-1,-0.008738566951588034,Short,1017.9110521157186
48.772499084472656,-1,-1,-1,-0.03683031750055599,Short,1018.800560503686
47.76250076293945,-1,-1,-1,0.020708356973546005,Short,1022.5528353149955
47.185001373291016,-1,-1,-1,0.012091062662626273,Short,1020.435296401194
46.6974983215332,-1,-1,-1,0.010331737576970035,Short,1019.2014816899998
47.11750030517578,-1,-1,-1,-0.008994100299563712,Short,1018.1484694653118
47.18000030517578,-1,-1,-1,-0.0013264710478100294,Short,1019.0642024107336
47.48749923706055,-1,-1,-1,-0.006517569518774025,Short,1019.1993783267694
47.810001373291016,-1,-1,-1,-0.006791305952341675,Short,1019.863648606943
48.505001068115234,-1,-1,-1,-0.014536701001068852,Short,1020.5562692136791
48.837501525878906,-1,-1,-1,-0.00685497269233637,Short,1022.0398213477117
48.92250061035156,-1,-1,-1,-0.0017404470297812669,Short,1022.7404268542936
49.25,-1,-1,-1,-0.006694248772294742,Short,1022.9184294081091
50.025001525878906,-1,-1,-1,-0.01573607159144985,Short,1023.6031964521313
49.875,-1,-1,-1,0.002998531160489981,Short,1025.2139457701921
50.154998779296875,-1,-1,-1,-0.0056140106124686895,Short,1024.906532173936
49.73749923706055,-1,-1,-1,0.008324186071133277,Short,1025.4819157887773
49.717498779296875,-1,-1,-1,0.00040212029294728335,Short,1024.6282855608165
49.807498931884766,-1,-1,-1,-0.0018102309005409989,Short,1024.5870831781813
49.8125,-1,-1,-1,-0.00010040793499932477,Short,1024.7725570980076
