price,short_ma,long_ma,z_score,buy_signal,sell_signal,signal
125.06999969482422,,,-2.6799055414814026,1,0,1
126.36000061035156,,,-2.6020266052637346,1,0,1
125.0199966430664,,,-2.682924286996745,1,0,1
129.6199951171875,,,-2.405216741633492,1,0,1
130.14999389648438,,,-2.3732200657928164,1,0,1
130.72999572753906,,,-2.3382046444367983,1,0,1
133.49000549316406,,,-2.1715794723845896,1,0,1
133.41000366210938,,,-2.176409280970778,1,0,1
134.75999450683594,,,-2.0949086792073155,1,0,1
135.94000244140625,130.4549987792969,,-2.0236701540507838,1,0,1
135.2100067138672,131.46899948120117,,-2.067740890761032,1,0,1
135.27000427246094,132.3599998474121,,-2.06411876461934,1,0,1
137.8699951171875,133.6449996948242,,-1.9071541309313036,0,0,0
141.11000061035156,134.79400024414062,,-1.7115510285537612,0,0,0
142.52999877929688,136.03200073242186,,-1.6258239988304606,0,0,0
141.86000061035156,137.14500122070314,,-1.6662726093990166,0,0,0
143.9600067138672,138.19200134277344,,-1.539492667289014,0,0,0
145.92999267578125,139.44400024414062,,-1.4205622004723375,0,0,0
143.0,140.26800079345702,,-1.597449449131477,0,0,0
144.2899932861328,141.10299987792968,,-1.5195709735097067,0,0,0
145.42999267578125,142.1249984741211,,-1.4507478132421672,0,0,0
150.82000732421875,143.67999877929688,,-1.1253460232392798,0,0,0
154.5,145.34299926757814,,-0.903180355425396,0,0,0
151.72999572753906,146.40499877929688,,-1.070408908103955,0,0,0
154.64999389648438,147.61699829101562,,-0.8941250400711654,0,0,0
151.9199981689453,148.622998046875,,-1.0589382278607322,0,0,0
150.8699951171875,149.31399688720703,,-1.1223281989157337,0,0,0
151.00999450683594,149.8219970703125,,-1.1138762641878532,0,0,0
153.85000610351562,150.90699768066406,,-0.9424212835494561,0,0,0
153.1999969482422,151.797998046875,,-0.9816631328653121,0,0,0
155.3300018310547,152.78799896240236,,-0.8530721276844633,0,0,0
153.7100067138672,153.07699890136718,,-0.9508732182773365,0,0,0
152.5500030517578,152.88199920654296,,-1.0209040609893723,0,0,0
148.47999572753906,152.55699920654297,,-1.2666153911078473,0,0,0
148.91000366210938,151.98300018310547,,-1.24065528510606,0,0,0
149.39999389648438,151.7309997558594,,-1.2110739741543763,0,0,0
146.7100067138672,151.31500091552735,,-1.373471797054951,0,0,0
147.9199981689453,151.0060012817383,,-1.3004231300193692,0,0,0
147.41000366210938,150.36200103759765,,-1.3312121234155487,0,0,0
145.30999755859375,149.5730010986328,,-1.4579920655255516,0,0,0
145.91000366210938,148.6310012817383,,-1.4217689617250375,0,0,0
151.02999877929688,148.36300048828124,,-1.112668581743357,0,0,0
153.8300018310547,148.49100036621093,,-0.9436289659939522,0,0,0
151.60000610351562,148.8030014038086,,-1.0782565410136893,0,0,0
152.8699951171875,149.1990005493164,,-1.0015857478364152,0,0,0
150.58999633789062,149.31800079345703,,-1.1392320683714945,0,0,0
148.5,149.49700012207032,,-1.2654077086633513,0,0,0
150.47000122070312,149.7520004272461,,-1.146476320654879,0,0,0
152.58999633789062,150.2699996948242,,-1.018489617292176,0,0,0
152.99000549316406,151.03800048828126,144.79339965820313,-0.9943405743612348,0,0,0
155.85000610351562,152.03200073242186,145.40899978637697,-0.8216788324701376,0,0,0
155.0,152.4290008544922,145.98179977416993,-0.8729947426555663,0,0,0
157.39999389648438,152.78600006103517,146.62939971923828,-0.7281041698371026,0,0,0
159.27999877929688,153.5539993286133,147.22259979248048,-0.6146059710411685,0,0,0
157.8300018310547,154.05,147.77619995117186,-0.7021440638353152,0,0,0
158.92999267578125,154.88399963378907,148.34019989013672,-0.6357362684567677,0,0,0
160.25,156.05899963378906,148.87539978027343,-0.5560458085723554,0,0,0
158.27999877929688,156.83999938964843,149.3727996826172,-0.6749771965808278,0,0,0
157.64999389648438,157.34599914550782,149.83059967041015,-0.7130113634521879,0,0,0
160.77000427246094,158.1239990234375,150.32719970703124,-0.5246525133580298,0,0,0
162.36000061035156,158.7749984741211,150.87019958496094,-0.4286624858360027,0,0,0
164.89999389648438,159.76499786376954,151.4627993774414,-0.2753199782896585,0,0,0
166.1699981689453,160.64199829101562,152.02879943847657,-0.1986482639205884,0,0,0
165.6300048828125,161.2769989013672,152.51919952392578,-0.23124832038761417,0,0,0
163.75999450683594,161.8699981689453,152.94379943847656,-0.34414313855719814,0,0,0
164.66000366210938,162.44299926757813,153.39979949951172,-0.2898084828564273,0,0,0
162.02999877929688,162.62099914550782,153.76119934082033,-0.44858510080710573,0,0,0
160.8000030517578,162.8729995727539,154.05859954833986,-0.5228414502871838,0,0,0
160.10000610351562,163.11800079345704,154.40059967041014,-0.565101123926586,0,0,0
165.55999755859375,163.5970001220703,154.82599975585939,-0.23547474834745238,0,0,0
165.2100067138672,163.8820007324219,155.22160003662108,-0.25660412457125553,0,0,0
165.22999572753906,163.91500091552734,155.5097998046875,-0.25539736331855545,0,0,0
166.47000122070312,163.94500122070312,155.74919982910157,-0.18053671202033145,0,0,0
167.6300048828125,164.14500122070314,156.06720001220702,-0.11050586930829573,0,0,0
166.64999389648438,164.43400115966796,156.30720001220703,-0.16967033359525485,0,0,0
165.02000427246094,164.47000122070312,156.56920013427734,-0.26807480481447815,0,0,0
165.3300018310547,164.8000015258789,156.85840026855467,-0.24935987228787113,0,0,0
163.77000427246094,165.0970016479492,157.1136004638672,-0.34353883673905217,0,0,0
163.75999450683594,165.46300048828124,157.3118002319336,-0.34414313855719814,0,0,0
168.41000366210938,165.7480010986328,157.61600036621093,-0.06341638708270522,0,0,0
